"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2023-02-20T18:30:00.000Z","55.15","55.25","54.05","54.60","-0.73","3.35","24,268,699"
"2023-02-21T18:30:00.000Z","54.40","54.45","53.20","53.40","-2.20","1.88","25,387,270"
"2023-02-22T18:30:00.000Z","53.50","54.45","53.00","53.75","0.66","4.74","40,993,719"
"2023-02-23T18:30:00.000Z","54.15","55.05","54.05","54.30","1.02","5.10","26,667,699"
"2023-02-26T18:30:00.000Z","54.25","54.65","53.85","54.40","0.18","4.27","16,776,470"
"2023-02-27T18:30:00.000Z","54.55","55.50","54.10","55.15","1.38","5.46","25,579,480"
"2023-02-28T18:30:00.000Z","55.25","56.25","55.15","55.70","1.00","5.08","17,589,664"
"2023-03-01T18:30:00.000Z","55.70","56.45","55.05","55.15","-0.99","3.09","25,302,931"
"2023-03-02T18:30:00.000Z","55.60","56.75","55.55","56.40","2.27","6.35","25,512,205"
"2023-03-05T18:30:00.000Z","56.70","57.85","56.55","57.15","1.33","5.41","30,200,876"
"2023-03-06T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-03-07T18:30:00.000Z","57.10","58.10","56.50","57.65","0.87","4.96","30,672,621"
"2023-03-08T18:30:00.000Z","57.80","57.85","57.00","57.20","-0.78","3.30","15,449,160"
"2023-03-09T18:30:00.000Z","56.80","56.85","55.80","56.10","-1.92","2.16","17,833,800"
"2023-03-12T18:30:00.000Z","55.95","56.30","54.55","54.75","-2.41","1.67","20,976,044"
"2023-03-13T18:30:00.000Z","54.80","55.20","54.20","54.80","0.09","4.17","18,978,401"
"2023-03-14T18:30:00.000Z","55.65","56.45","54.60","54.75","-0.09","3.99","31,109,683"
"2023-03-15T18:30:00.000Z","54.60","55.70","53.90","55.35","1.10","5.18","27,896,428"
"2023-03-16T18:30:00.000Z","55.85","56.15","54.85","55.20","-0.27","3.81","21,226,200"
"2023-03-19T18:30:00.000Z","55.15","55.35","53.60","54.30","-1.63","2.45","16,124,821"
"2023-03-20T18:30:00.000Z","54.60","55.90","54.55","55.70","2.58","6.66","20,186,435"
"2023-03-21T18:30:00.000Z","56.00","56.60","55.75","56.10","0.72","4.80","15,285,261"
"2023-03-22T18:30:00.000Z","55.65","56.10","54.95","55.10","-1.78","2.30","12,078,965"
"2023-03-23T18:30:00.000Z","55.10","56.05","53.90","54.10","-1.81","2.27","24,352,812"
"2023-03-26T18:30:00.000Z","53.85","54.00","52.80","53.05","-1.94","2.14","21,905,394"
"2023-03-27T18:30:00.000Z","53.15","53.35","52.10","52.75","-0.57","3.52","18,691,013"
"2023-03-28T18:30:00.000Z","52.85","54.95","52.45","54.50","3.32","7.40","26,709,018"
"2023-03-29T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-03-30T18:30:00.000Z","54.95","55.60","54.80","55.05","1.01","5.09","19,857,237"
"2023-04-02T18:30:00.000Z","55.20","55.60","54.60","55.55","0.91","4.99","15,206,162"
"2023-04-03T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-04-04T18:30:00.000Z","55.85","55.85","54.50","54.90","-1.17","2.91","17,115,146"
"2023-04-05T18:30:00.000Z","54.80","55.70","54.55","55.05","0.27","4.35","16,590,924"
"2023-04-06T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-04-09T18:30:00.000Z","55.00","55.10","53.95","54.10","-1.73","2.36","19,205,321"
"2023-04-10T18:30:00.000Z","54.40","54.60","53.55","53.70","-0.74","3.34","19,245,739"
"2023-04-11T18:30:00.000Z","54.00","54.20","53.35","53.85","0.28","4.36","14,012,737"
"2023-04-12T18:30:00.000Z","54.00","54.20","53.40","54.00","0.28","4.36","15,813,167"
"2023-04-13T18:30:00.000Z","","","","","-100.00","-95.92",""
"2023-04-16T18:30:00.000Z","54.35","55.25","53.90","55.15","2.13","6.21","18,975,863"
"2023-04-17T18:30:00.000Z","55.15","57.25","55.10","56.50","2.45","6.53","40,565,647"
"2023-04-18T18:30:00.000Z","56.85","57.25","56.20","56.35","-0.27","3.82","16,705,166"
